engine,model_key,runs,mean_words,mean_mattr_50,mean_mtld,mean_distinct_2,mean_repeated_trigram_fraction,mean_prompt_tfidf_cosine,mean_previous_step_tfidf_cosine,mean_flesch_reading_ease,mean_reference_gpt2_tokens,truncation_rate
rtsm,distilgpt2,50,395.28,0.9654,495.6978,0.7216,0.2758,0.2657,0.9236,40.8782,473.2,0.0
rtsm,gpt2,50,387.1,0.979,951.3196,0.9128,0.0859,0.2087,0.915,44.7794,491.8,0.02
rtsm,qwen2.5-0.5b-instruct,50,377.92,0.9052,344.7983,0.9557,0.0292,0.2665,0.9177,34.1323,478.98,0.0
srpf,distilgpt2,50,125.84,0.9326,261.7491,0.7155,0.1209,0.0245,0.2628,49.0425,175.7,0.08
srpf,gpt2,50,101.94,0.9368,362.2708,0.9158,0.0618,0.0203,0.158,54.4853,154.36,0.1
srpf,qwen2.5-0.5b-instruct,50,113.54,0.911,225.1958,0.9953,0.0,0.0547,0.1695,9.7071,147.44,0.0
lvtc,distilgpt2,50,90.5,0.9242,477.912,0.9403,0.0373,0.035,0.2357,48.7523,115.6,0.0
lvtc,gpt2,50,87.38,0.9652,682.1139,0.996,0.0035,0.028,0.1028,52.3294,111.54,0.0
lvtc,qwen2.5-0.5b-instruct,50,72.56,0.8798,152.0794,0.9764,0.0051,0.0529,0.1755,31.1791,116.2,0.0
agc,distilgpt2,50,71.14,0.9577,268.0353,0.9636,0.016,0.0237,0.2054,53.3815,93.44,0.0
agc,gpt2,50,77.56,0.9387,600.9127,0.9598,0.0,0.0216,0.098,53.444,100.22,0.0
agc,qwen2.5-0.5b-instruct,50,47.94,0.9168,122.3495,0.989,0.004,0.0518,0.191,61.4416,104.98,0.0
