metric,group1,group2,mean_diff,p_adj,lower,upper,reject
word_count,agc,lvtc,17.9333,0.2214,-6.152,42.0187,False
word_count,agc,rtsm,321.22,0.0,297.1346,345.3054,True
word_count,agc,srpf,48.2267,0.0,24.1413,72.312,True
word_count,lvtc,rtsm,303.2867,0.0,279.2013,327.372,True
word_count,lvtc,srpf,30.2933,0.0069,6.208,54.3787,True
word_count,rtsm,srpf,-272.9933,0.0,-297.0787,-248.908,True
distinct_2,agc,lvtc,0.0001,1.0,-0.0586,0.0588,False
distinct_2,agc,rtsm,-0.1074,0.0,-0.1661,-0.0487,True
distinct_2,agc,srpf,-0.0953,0.0002,-0.154,-0.0366,True
distinct_2,lvtc,rtsm,-0.1075,0.0,-0.1662,-0.0488,True
distinct_2,lvtc,srpf,-0.0954,0.0002,-0.1541,-0.0367,True
distinct_2,rtsm,srpf,0.0121,0.951,-0.0466,0.0709,False
repeated_trigram_fraction,agc,lvtc,0.0086,0.9521,-0.0334,0.0506,False
repeated_trigram_fraction,agc,rtsm,0.1236,0.0,0.0816,0.1656,True
repeated_trigram_fraction,agc,srpf,0.0542,0.0052,0.0122,0.0962,True
repeated_trigram_fraction,lvtc,rtsm,0.115,0.0,0.0729,0.157,True
repeated_trigram_fraction,lvtc,srpf,0.0456,0.0274,0.0036,0.0876,True
repeated_trigram_fraction,rtsm,srpf,-0.0694,0.0001,-0.1114,-0.0273,True
prompt_tfidf_cosine,agc,lvtc,0.0062,0.5423,-0.0058,0.0183,False
prompt_tfidf_cosine,agc,rtsm,0.2146,0.0,0.2025,0.2266,True
prompt_tfidf_cosine,agc,srpf,0.0008,0.9981,-0.0112,0.0129,False
prompt_tfidf_cosine,lvtc,rtsm,0.2083,0.0,0.1963,0.2204,True
prompt_tfidf_cosine,lvtc,srpf,-0.0054,0.6527,-0.0175,0.0066,False
prompt_tfidf_cosine,rtsm,srpf,-0.2138,0.0,-0.2258,-0.2017,True
previous_step_tfidf_cosine,agc,lvtc,0.0065,0.9951,-0.0634,0.0764,False
previous_step_tfidf_cosine,agc,rtsm,0.754,0.0,0.6841,0.8238,True
previous_step_tfidf_cosine,agc,srpf,0.032,0.6409,-0.0379,0.1018,False
previous_step_tfidf_cosine,lvtc,rtsm,0.7474,0.0,0.6776,0.8173,True
previous_step_tfidf_cosine,lvtc,srpf,0.0254,0.7844,-0.0444,0.0953,False
previous_step_tfidf_cosine,rtsm,srpf,-0.722,0.0,-0.7919,-0.6521,True
