engine,model_key,runs,mean_words,sd_words,mean_mattr_50,mean_mtld,mean_word_entropy_bits,mean_distinct_2,mean_repeated_trigram_fraction,mean_prompt_tfidf_cosine,mean_previous_step_tfidf_cosine,mean_flesch_reading_ease,mean_flesch_kincaid_grade,mean_gunning_fog
agc,distilgpt2,50,71.14,55.03357416808658,0.9576562868979472,268.0352742581148,5.2889141382201945,0.9636179422194942,0.016038321595620218,0.023684919126687413,0.20539993864594902,53.38145713216951,11.271685955935533,14.416222914614803
agc,gpt2,50,77.56,38.60218879275937,0.9386805463080389,600.9127358454109,5.777513920727065,0.9597938144329896,0.0,0.021641823052776024,0.09803336106458208,53.44399400976554,10.776412160707778,13.507068554841965
agc,qwen2.5-0.5b-instruct,50,47.94,33.710296374144406,0.9168203391350497,122.34953616462937,4.700419447556926,0.9889811902270814,0.0040206411945542374,0.05180743831282214,0.1909954418167093,61.44156672281993,8.496219585679704,13.842765034169515
lvtc,distilgpt2,50,90.5,58.01978902380934,0.9242205737273141,477.91204975129347,5.732571379138813,0.9402925195647586,0.0373374322675192,0.03496409540929774,0.23569604197607746,48.752266201396566,12.234241519854063,15.04553518413351
lvtc,gpt2,50,87.38,36.5507139995589,0.9652048132900828,682.1139027997982,6.156568320307387,0.9960441637470034,0.0034517766497461923,0.0279686155327961,0.10277812707303205,52.32943410146998,12.342993763268273,15.22691549361068
lvtc,qwen2.5-0.5b-instruct,50,72.56,29.794644087931825,0.8798075113296452,152.07937879054805,5.5896272928297375,0.9763695161225323,0.005143187008970285,0.052908214923980415,0.17550626264522529,31.179129918738166,14.103884196972768,18.579312859508136
rtsm,distilgpt2,50,395.28,114.44899764185134,0.9653588546671101,495.697755067722,7.726690904656326,0.7216390618317605,0.2757783366940681,0.2656673182307715,0.9236134995983781,40.878209052519445,14.843999489458465,17.95871951324378
rtsm,gpt2,50,387.1,120.78674917187811,0.9789694543260865,951.3195989979988,8.113886351646915,0.9127791917251556,0.0858884375321045,0.20867867787105873,0.9149746516821972,44.77939910420551,13.970594411686202,17.05613440386843
rtsm,qwen2.5-0.5b-instruct,50,377.92,48.87378162790602,0.9051862786802335,344.7982850092324,7.655671396995753,0.9557461492108772,0.029164845338377446,0.26652033903784966,0.917698010606054,34.13225918195687,13.716946316750068,17.01982921785072
srpf,distilgpt2,50,125.84,163.62979121000114,0.9326385563219078,261.7490551477138,4.718069552255322,0.7155495379280477,0.12088469287709991,0.024545083414237005,0.26283225015347544,49.04248249726545,11.213196501229437,16.375083428306834
srpf,gpt2,50,101.94,98.32607352423811,0.9368233871762023,362.2707987876722,5.690589572771229,0.9157719829131488,0.061829326401679506,0.020284597145059115,0.15800565657072851,54.48530405719485,11.979331883567097,16.136152809515227
srpf,qwen2.5-0.5b-instruct,50,113.54,28.949082675537447,0.9110337656145532,225.19579194454815,6.370266167850178,0.9952735352938095,0.0,0.05473816691716169,0.169461968981064,9.707083242904776,17.144805125895406,21.390638986644404
