metric,metric_label,term,df,F,p_value,eta_sq
word_count,Output length (words),C(engine),3.0,521.3666921420325,1.1212935659995888e-164,0.7239756977667289
word_count,Output length (words),C(model_key),2.0,2.4188788555575083,0.08991279249143232,0.002239255062587649
word_count,Output length (words),C(prompt_index),4.0,0.9729258443326144,0.4217337359850708,0.001801354472497577
word_count,Output length (words),C(engine):C(model_key),6.0,0.6003670768138688,0.7301635884732226,0.0016673530545909241
mattr_50,Lexical diversity (MATTR-50),C(engine),3.0,2.0669510272243428,0.10347037309251712,0.009861306298811037
mattr_50,Lexical diversity (MATTR-50),C(model_key),2.0,14.312363137150237,8.54576776085081e-07,0.04552231600919352
mattr_50,Lexical diversity (MATTR-50),C(prompt_index),4.0,0.20378845316199357,0.936293120330707,0.0012963508925769402
mattr_50,Lexical diversity (MATTR-50),C(engine):C(model_key),6.0,1.527620748857408,0.16663604310394275,0.014576384166325911
mtld,Lexical diversity (MTLD),C(engine),3.0,15.99672347593488,5.245842507617183e-10,0.062357510721512646
mtld,Lexical diversity (MTLD),C(model_key),2.0,53.77979227462227,3.6501169202667943e-22,0.139760869505997
mtld,Lexical diversity (MTLD),C(prompt_index),4.0,1.940556047097954,0.10221702530377191,0.010086085832485134
mtld,Lexical diversity (MTLD),C(engine):C(model_key),6.0,3.7142162416943325,0.0012388755751369742,0.0289570898017833
distinct_2,Distinct-2,C(engine),3.0,15.583764421988626,9.196486777262776e-10,0.0627043036277773
distinct_2,Distinct-2,C(model_key),2.0,34.170706687134434,9.244126667923873e-15,0.0916616511588829
distinct_2,Distinct-2,C(prompt_index),4.0,0.5933623357507402,0.6675680706569248,0.0031833448414388264
distinct_2,Distinct-2,C(engine):C(model_key),6.0,7.352888282875061,1.3525495800011224e-07,0.0591715489204872
repeated_trigram_fraction,Repeated trigram fraction,C(engine),3.0,28.676929923679975,2.6170437716821193e-17,0.10799693224540544
repeated_trigram_fraction,Repeated trigram fraction,C(model_key),2.0,33.80241973899517,1.2856874903138994e-14,0.08486630528438747
repeated_trigram_fraction,Repeated trigram fraction,C(prompt_index),4.0,0.6185835241155088,0.6494177606310114,0.0031061029717300106
repeated_trigram_fraction,Repeated trigram fraction,C(engine):C(model_key),6.0,9.415675178012373,7.013252830454881e-10,0.0709186120655735
prompt_tfidf_cosine,Prompt similarity (TF-IDF cosine),C(engine),3.0,1348.688319332732,4.9848973774892635e-262,0.8382679705257213
prompt_tfidf_cosine,Prompt similarity (TF-IDF cosine),C(model_key),2.0,54.21700875743038,2.523828667087018e-22,0.022465473179922535
prompt_tfidf_cosine,Prompt similarity (TF-IDF cosine),C(prompt_index),4.0,11.225659840740132,8.822908217831355e-09,0.00930297579519337
prompt_tfidf_cosine,Prompt similarity (TF-IDF cosine),C(engine):C(model_key),6.0,7.215790050179021,1.9181019766120008e-07,0.008969849585552737
previous_step_tfidf_cosine,Previous-step similarity (TF-IDF cosine),C(engine),3.0,383.3427409171605,1.5312911094926722e-137,0.6529792690078658
previous_step_tfidf_cosine,Previous-step similarity (TF-IDF cosine),C(model_key),2.0,7.268642501613766,0.0007619355451025875,0.008254185025177285
previous_step_tfidf_cosine,Previous-step similarity (TF-IDF cosine),C(prompt_index),4.0,1.6118578601637639,0.16970316409352734,0.003660813696401823
previous_step_tfidf_cosine,Previous-step similarity (TF-IDF cosine),C(engine):C(model_key),6.0,1.0314662879692482,0.40362754326928385,0.0035139629936019267
flesch_reading_ease,Flesch reading ease,C(engine),3.0,8.415113409185116,1.7532830098276464e-05,0.036852224503939754
flesch_reading_ease,Flesch reading ease,C(model_key),2.0,13.890553638421494,1.2779135943344195e-06,0.04055384451570104
flesch_reading_ease,Flesch reading ease,C(prompt_index),4.0,2.711205796833349,0.029351895418034304,0.015830876320253217
flesch_reading_ease,Flesch reading ease,C(engine):C(model_key),6.0,6.195205892408108,2.567451635781392e-06,0.054261210109410124
